name;stadium;city;country;power
Milan;;;Rest of the world;4
Bologna;;;Rest of the world;3
Udinese;;;Rest of the world;3
Monza;;;Rest of the world;2
Empoli;;;Rest of the world;2
Mechelen;;;Rest of the world;2
Genk;;;Rest of the world;3
Antwerp;;;Rest of the world;3
Dender;;;Rest of the world;2
Cercle Brugge;;;Rest of the world;3
Kortrijk;;;Rest of the world;2
Gent;;;Rest of the world;3
Charleroi;;;Rest of the world;3
Union SG;;;Rest of the world;3
Westerlo;;;Rest of the world;2
Anderlecht;;;Rest of the world;3
OH Leuven;;;Rest of the world;2
Sint-Truiden;;;Rest of the world;2
Beerschot;;;Rest of the world;2
Internacional;;;Rest of the world;3
Flamengo;;;Rest of the world;4
Sao Paulo;;;Rest of the world;3
Cuiaba;;;Rest of the world;2
Ath Paranaense;;;Rest of the world;2
Criciuma;;;Rest of the world;2
Vasco da Gama;;;Rest of the world;3
Atletico Mineiro;;;Rest of the world;2
RB Bragantino;;;Rest of the world;2
Juventude;;;Rest of the world;2
Fortaleza;;;Rest of the world;2
Corinthians;;;Rest of the world;3
Gremio;;;Rest of the world;2
Bahia;;;Rest of the world;3
Atl Goianiense;;;Rest of the world;2
Botafogo (RJ);;;Rest of the world;3
Cruzeiro;;;Rest of the world;4
Fluminense;;;Rest of the world;3
Eint Frankfurt;;;Rest of the world;4
Werder Bremen;;;Rest of the world;3
Heidenheim;;;Rest of the world;2
Stuttgart;;;Rest of the world;3
Bochum;;;Rest of the world;2
Union Berlin;;;Rest of the world;3
St. Pauli;;;Rest of the world;2
Augsburg;;;Rest of the world;2
RB Leipzig;;;Rest of the world;4
Mainz 05;;;Rest of the world;3
Freiburg;;;Rest of the world;3
Bayern Munich;;;Rest of the world;5
Gladbach;;;Rest of the world;4
Hoffenheim;;;Rest of the world;3
Wolfsburg;;;Rest of the world;3
Leverkusen;;;Rest of the world;5
Holstein Kiel;;;Rest of the world;2
Hellas Verona;;;Rest of the world;2
Dortmund;;;Rest of the world;4
Inter;;;Rest of the world;5
Palmeiras;;;Rest of the world;4
Santos;;;Rest of the world;3
Ceara;;;Rest of the world;2
Ceske Budejovice;;;Rest of the world;2
Slovan Liberec;;;Rest of the world;2
Sigma Olomouc;;;Rest of the world;2
Teplice;;;Rest of the world;2
FK Pardubice;;;Rest of the world;2
Mlada Boleslav;;;Rest of the world;2
Viktoria Pilzno;;;Rest of the world;3
Bohemians 1905;;;Rest of the world;2
Sparta Prague;;;Rest of the world;3
Jablonec;;;Rest of the world;2
Dukla Prague;;;Rest of the world;2
Hradec Kralove;;;Rest of the world;2
Karvina;;;Rest of the world;2
Banik Ostrava;;;Rest of the world;2
Oxford United;;;Rest of the world;2
Sheffield United;;;Rest of the world;2
Millwall;;;Rest of the world;2
Hull City;;;Rest of the world;2
Queens Park Rangers;;;Rest of the world;2
Coventry City;;;Rest of the world;2
Stoke City;;;Rest of the world;2
Leeds United;;;Rest of the world;2
Luton Town;;;Rest of the world;2
Preston North End;;;Rest of the world;2
Bristol City;;;Rest of the world;2
Norwich City;;;Rest of the world;2
Portsmouth;;;Rest of the world;2
Sheffield Wednesday;;;Rest of the world;2
Blackburn Rovers;;;Rest of the world;2
Cardiff City;;;Rest of the world;2
Derby County;;;Rest of the world;2
Plymouth Argyle;;;Rest of the world;2
Watford;;;Rest of the world;2
Middlesbrough;;;Rest of the world;2
Swansea City;;;Rest of the world;2
West Bromwich Albion;;;Rest of the world;2
Standard Liege;;;Rest of the world;2
